"","Ship","Count","Vessel_Kts","distance","Behavior","Visibility","SeaState","Year","Kts_scaled"
"53","Amsterdam",1,12.53641396,756.3574271,"BL-Blowing","excellent","calm",2008,-0.579652643950021
"54","Amsterdam",1,9.254395248,785.0602028,"BL-Blowing","excellent","2'",2008,-1.53370941964406
"55","Statendam",1,11.18329477,786.3331009,"BL-Blowing","excellent","1'",2008,-0.972993646797154
"56","Ryndam",1,15.13868499,786.494808,"DF-Dive-fluke-up","excellent","1'",2008,0.176806878747488
"57","Amsterdam",1,10.77455706,786.9730576,"BL-Blowing","excellent","1'",2008,-1.09181045313691
"58","Statendam",1,12.55731654,788.8689601,"BL-Blowing","excellent","2'",2008,-0.573576429940158
"59","Statendam",1,14.0538021,789.7590094,"BL-Blowing","good","calm",2008,-0.138559961866379
"60","Amsterdam",1,13.16031591,791.9778381,"BL-Blowing","excellent","1'",2008,-0.398289301751555
"61","Ryndam",1,16.35628232,792.6897616,"BL-Blowing","excellent","1'",2008,0.530752753128437
"62","Amsterdam",2,10.52618632,797.4086634,"BL-Blowing","excellent","2'",2008,-1.1640098548389
"63","Ryndam",1,15.99493394,799.4257454,"BL-Blowing","excellent","calm",2008,0.425711648681173
"64","Statendam",1,9.532651006,803.8453677,"BL-Blowing","excellent","2'",2008,-1.45282268053891
"65","Statendam",2,18.97641444,855.6148704,"BL-Blowing","excellent","2'",2008,1.29240435284655
"66","Ryndam",1,18.46005938,859.2455613,"BL-Blowing","excellent","calm",2008,1.14230403749622
"67","Ryndam",2,17.373647,880.3816135,"BL-Blowing","excellent","calm",2008,0.826492586285671
"68","Amsterdam",1,11.85384196,884.6143923,"DF-Dive-fluke-up","excellent","1'",2008,-0.778070903760063
"69","Amsterdam",1,19.1249941,885.925689,"BL-Blowing","excellent","1'",2008,1.33559528007528
"70","Statendam",1,13.37497421,886.2581699,"BL-Blowing","excellent","1'",2008,-0.335889838632965
"71","Statendam",1,16.84823483,888.0166102,"BL-Blowing","excellent","2'",2008,0.673759440984637
"72","Statendam",1,17.18444389,888.1841211,"DF-Dive-fluke-up","excellent","2'",2008,0.771492744749764
"73","Ryndam",1,13.95144294,889.2741967,"BL-Blowing","excellent","calm",2008,-0.168314956801445
"74","Statendam",2,19.68344548,889.3787012,"DF-Dive-fluke-up","excellent","2'",2008,1.49793266134512
"75","Amsterdam",1,12.83226371,892.5458222,"DF-Dive-fluke-up","excellent","calm",2008,-0.493651471091721
"76","Amsterdam",1,12.47839968,892.8560053,"BL-Blowing","excellent","calm",2008,-0.59651693443034
"77","Amsterdam",1,10.53824703,897.9852921,"DF-Dive-fluke-up","excellent","1'",2008,-1.16050390222105
"78","Amsterdam",1,10.42817274,898.3012207,"DF-Dive-fluke-up","excellent","1'",2008,-1.19250162417804
"79","Amsterdam",1,12.336538,899.0384241,"BL-Blowing","excellent","calm",2008,-0.63775499822336
"80","Amsterdam",1,10.54342265,903.841137,"BL-Blowing","excellent","1'",2008,-1.15899939058882
"81","Statendam",1,12.4247128,906.6337886,"BL-Blowing","excellent","calm",2008,-0.612123284096354
"82","Amsterdam",2,12.23558497,911.523065,"BL-Blowing","excellent","calm",2008,-0.667101242334093
"83","Statendam",1,17.42301124,912.3217371,"BL-Blowing","excellent","1'",2008,0.84084237883158
"84","Amsterdam",3,10.62579297,927.224156,"BL-Blowing","excellent","2'",2008,-1.135054992702
"85","Amsterdam",2,10.61819661,947.0793576,"DF-Dive-fluke-up","excellent","1'",2008,-1.13726319422813
"86","Amsterdam",1,10.77522111,961.6851502,"SA-Surface-active","excellent","1'",2008,-1.09161741907541
"87","Statendam",1,7.659081622,968.809598,"DF-Dive-fluke-up","excellent","calm",2008,-1.997454421669
"88","Amsterdam",1,10.81449866,984.5628383,"RE-Resting","good","4'",2008,-1.08019974720988
"89","Amsterdam",1,10.95468446,984.5971485,"DF-Dive-fluke-up","good","2'",2008,-1.03944884842399
"90","Amsterdam",1,10.52287485,984.6279327,"BL-Blowing","excellent","2'",2008,-1.16497247287014
"91","Amsterdam",3,10.43014195,984.7733991,"DF-Dive-fluke-up","excellent","1'",2008,-1.19192919046936
"92","Amsterdam",1,11.85557673,984.8187997,"DF-Dive-fluke-up","good","2'",2008,-0.777566619897598
"93","Amsterdam",1,11.66706017,985.4170115,"BL-Blowing","excellent","1'",2008,-0.832366886800687
"94","Amsterdam",1,12.03794461,985.8319225,"BL-Blowing","excellent","1'",2008,-0.724553725441267
"95","Statendam",1,20.41253503,986.254679,"DF-Dive-fluke-up","excellent","3'",2008,1.70987320352483
"96","Ryndam",1,19.60949436,986.4453895,"DF-Dive-fluke-up","excellent","calm",2008,1.47643565803792
"97","Ryndam",1,13.14534815,986.4545219,"BL-Blowing","excellent","2'",2008,-0.402640310718307
"98","Statendam",2,15.701238,986.6248136,"BL-Blowing","excellent","calm",2008,0.340336571285566
"99","Ryndam",1,19.34150901,986.9196359,"BL-Blowing","excellent","calm",2008,1.39853444497676
"100","Statendam",1,19.42439926,987.2257956,"DF-Dive-fluke-up","excellent","3'",2008,1.42262998238559
"101","Statendam",3,10.97487117,988.1180893,"BL-Blowing","excellent","calm",2008,-1.03358073213811
"102","Ryndam",1,12.80310263,989.3956405,"RE-Resting","excellent","2'",2008,-0.502128365467378
"103","Statendam",1,15.90415452,989.5795299,"BL-Blowing","excellent","3'",2008,0.399322792204546
"104","Statendam",2,11.04822328,990.2977176,"DF-Dive-fluke-up","excellent","calm",2008,-1.01225785628091
"105","Statendam",1,13.49541012,990.5419292,"BL-Blowing","excellent","calm",2008,-0.300880076027938
"106","Statendam",1,19.23952368,991.102364,"BL-Blowing","excellent","1'",2008,1.36888811945395
"107","Statendam",1,13.19542974,991.5643763,"RE-Resting","excellent","1'",2008,-0.388081990224177
"108","Ryndam",1,18.31595549,991.9386874,"DF-Dive-fluke-up","excellent","2'",2008,1.10041418106253
"109","Ryndam",1,16.35679592,992.511101,"BL-Blowing","excellent","1'",2008,0.530902052569725
"110","Statendam",1,10.30714169,993.8955482,"BL-Blowing","excellent","2'",2008,-1.22768438925481
"111","Amsterdam",1,12.80941217,995.35883,"DF-Dive-fluke-up","excellent","1'",2008,-0.500294232296077
"112","Ryndam",1,14.31745216,996.3471916,"DF-Dive-fluke-up","excellent","1'",2008,-0.0619189831798623
"113","Statendam",1,12.9915852,997.5676108,"BL-Blowing","excellent","calm",2008,-0.447337979187361
"114","Ryndam",1,19.02207258,998.2437356,"BL-Blowing","excellent","2'",2008,1.30567681155415
"115","Amsterdam",1,9.459920132,999.0871486,"BL-Blowing","excellent","2'",2008,-1.47396496802439
"116","Statendam",1,13.60881472,999.2742771,"BL-Blowing","excellent","2'",2008,-0.267914259401335
"117","Amsterdam",1,20.43786119,1000.378915,"DF-Dive-fluke-up","good","2'",2008,1.71723531711119
"118","Statendam",1,13.44489526,1005.02925,"DF-Dive-fluke-up","excellent","2'",2008,-0.315564344670291
"119","Ryndam",2,17.3302097,1005.471299,"BL-Blowing","excellent","3'",2008,0.813865708129453
"120","Statendam",1,12.74464987,1005.599059,"DF-Dive-fluke-up","excellent","2'",2008,-0.519120118601544
"121","Ryndam",1,12.3069884,1005.96854,"BL-Blowing","good","calm",2008,-0.646344832277618
"122","Statendam",1,14.59760594,1006.029704,"BL-Blowing","excellent","2'",2008,0.0195194958477056
"123","Amsterdam",1,12.65084715,1007.193123,"BL-Blowing","excellent","1'",2008,-0.546387824378881
"124","Ryndam",1,13.91014705,1009.083125,"BL-Blowing","excellent","calm",2008,-0.180319344076497
"125","Statendam",1,15.83609827,1010.712677,"BL-Blowing","excellent","3'",2008,0.379539380792714
"126","Ryndam",1,13.08209134,1012.232075,"BL-Blowing","excellent","1'",2008,-0.421028563036502
"127","Statendam",1,19.5069998,1012.359462,"BL-Blowing","excellent","3'",2008,1.44664130339812
"128","Ryndam",1,12.57647491,1012.376789,"BL-Blowing","excellent","calm",2008,-0.568007243925793
"129","Statendam",1,18.56257318,1012.406824,"BL-Blowing","excellent","calm",2008,1.17210398505122
"130","Ryndam",1,13.90442249,1013.177926,"DF-Dive-fluke-up","excellent","calm",2008,-0.18198342820737
"131","Amsterdam",1,13.90268364,1042.284792,"DF-Dive-fluke-up","excellent","calm",2008,-0.182488898093434
"132","Ryndam",1,18.14342903,1127.171842,"BL-Blowing","excellent","1'",2008,1.05026210924536
"133","Amsterdam",2,10.40705348,1147.203975,"DF-Dive-fluke-up","excellent","1'",2008,-1.19864082534316
"134","Amsterdam",1,9.901514107,1173.252505,"BL-Blowing","excellent","2'",2008,-1.34559710637449
"135","Amsterdam",1,12.41439589,1185.871411,"BL-Blowing","excellent","calm",2008,-0.615122327902454
"136","Amsterdam",1,9.071642557,1186.071375,"DF-Dive-fluke-up","excellent","3'",2008,-1.58683417560215
"137","Statendam",1,12.39495733,1186.264811,"BL-Blowing","excellent","2'",2008,-0.620772962924712
"138","Statendam",1,13.31585803,1186.307214,"BL-Blowing","good","calm",2008,-0.353074442692636
"139","Statendam",2,16.23984767,1186.463598,"BL-Blowing","excellent","2'",2008,0.496906125029729
